,Meteorological Information,Trajectory Management,Airspace And Surface Structure Allocation,MET Information Management,Airport Management,Shared Information Service Management,Demand And Capacity Balancing,Traffic Synchronisation,Separation Provision,Trajectory Planning,Traffic Sequencing,ATM Information Management,Airspace Access,Flight Information Management,Airport CDM,Surveillance Infrastructure,Trajectory Execution And Conformance Monitoring,Airspace  And Surface Structure  Design,Aeronautical Information Management,Conflict Management,ATM Network Management,Route Design,CNS Infrastructure,Navigtion Infrastructure,Route Assignment And Guidance,Communication Infrastructure,Collision Avoidance,Total,%Total
Europe,16.0,11.0,9.0,22.0,17.0,3.0,8.0,3.0,2.0,9.0,2.0,11.0,0.0,8.0,7.0,5.0,3.0,4.0,5.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,161.0,0.358574610245
Oceania,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,26.0,0.0579064587973
Global,8.0,4.0,6.0,8.0,9.0,4.0,4.0,3.0,2.0,6.0,3.0,9.0,3.0,4.0,6.0,2.0,2.0,6.0,9.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,114.0,0.253897550111
Africa,4.0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,37.0,0.0824053452116
Asia,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,38.0,0.0846325167038
North America,3.0,5.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,5.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,45.0,0.100222717149
South America,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,28.0,0.0623608017817
Total,37.0,27.0,25.0,43.0,33.0,12.0,26.0,15.0,14.0,26.0,14.0,27.0,3.0,18.0,24.0,12.0,7.0,12.0,15.0,9.0,6.0,12.0,2.0,8.0,2.0,9.0,11.0,449.0,1.0
%Total,0.0411568409344,0.0300333704116,0.027808676307,0.0478309232481,0.0367074527253,0.0133481646274,0.0289210233593,0.0166852057842,0.0155728587319,0.0289210233593,0.0155728587319,0.0300333704116,0.00333704115684,0.020022246941,0.0266963292547,0.0133481646274,0.00778642936596,0.0133481646274,0.0166852057842,0.0100111234705,0.00667408231368,0.0133481646274,0.00222469410456,0.00889877641824,0.00222469410456,0.0100111234705,0.0122358175751,0.499443826474,0.00111234705228
